acousticness,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.992,"['Francisco Canaro', 'Charlo']",0.78,161000,0.238,0.0355,3,0.108,-13.552,0,Tu Disfraz - Remasterizado,0,20-09-1928,0.209,121.064,0.844,1928
0.995,['Hikmet Rıza Hanım'],0.449,159496,0.169,0.832,7,0.0999,-12.993,0,Ayva Çiçek Açmış,0,11-05-1928,0.0497,66.372,0.413,1928
0.993,['Francisco Canaro'],0.766,184000,0.203,0.169,2,0.147,-10.142,0,Emoción - Instrumental (Remasterizado),0,25-09-1928,0.0728,116.415,0.692,1928
0.995,['Ignacio Corsini'],0.599,135507,0.137,0.305,5,0.132,-22.342,0,Cualquier Cosa - Remasterizado,0,14-05-1928,0.161,137.384,0.687,1928
0.994,"['Francisco Canaro', 'Charlo']",0.615,170000,0.205,0.913,2,0.113,-13.837,1,Pobre Gaucho - Remasterizado,0,03-10-1928,0.0618,58.299,0.752,1928
0.996,"['Alexander Scriabin', 'Vladimir Horowitz']",0.278,288907,0.0049,0.932,11,0.0954,-31.442,1,"Sonata No. 3, Op. 23 in F-Sharp Minor: III. Andante",0,1928,0.0407,81.033,0.0606,1928
0.996,"['Alexander Scriabin', 'Vladimir Horowitz']",0.393,48627,0.0545,0.829,7,0.328,-27.582,1,"Preludes: Op. 11, No. 3 in G",0,1928,0.0366,70.495,0.374,1928
0.105,['Shungi Music Crew'],0.699,388115,0.838,0.909,7,0.128,-12.106,1,Trip to Limpopo,0,20-08-1928,0.0462,123.993,0.481,1928
0.981,['Elsie Houston'],0.78,117362,0.55,0.122,4,0.165,-11.096,0,Óia o Sapo,0,31-12-1930,0.396,83.383,0.847,1930
0.991,['Ignacio Corsini'],0.545,168653,0.133,0.444,7,0.115,-20.53,0,Cobardia - Remasterizado,0,21-06-1930,0.127,185.062,0.691,1930
0.995,['Francisco Canaro'],0.746,186000,0.159,0.819,8,0.109,-15.106,1,Asuero - Instrumental (Remasterizado),0,20-11-1930,0.189,120.084,0.88,1930
0.981,['Αντώνης Νταλγκάς'],0.273,200693,0.0958,0.00109,1,0.637,-20.217,1,Μπεστενγκιάρ μανές,0,01-01-1930,0.0465,86.281,0.18,1930
0.982,['Stellakis Perpiniadis'],0.503,188120,0.46,0.78,9,0.157,-9.289,0,O milonas,0,01-01-1930,0.0454,79.269,0.909,1930
0.989,['Αντώνης Διαμαντίδης'],0.414,165520,0.229,0.00067,7,0.121,-10.564,1,Θεοδωράκης Γρίβας,0,01-01-1930,0.0587,74.796,0.325,1930
0.992,"['S. Loukopoulos', 'Klarino G. Anestopoulos', 'Klarino KOstas Giaouzos', 'Klarinos Nikos Karakostas']",0.368,204840,0.263,0.89,9,0.288,-16.263,1,Xipna Pouli Mou To Proi,0,01-01-1930,0.0476,101.447,0.312,1930
0.996,['Paradosiako I. KIriakatis'],0.342,178154,0.308,0.903,0,0.14,-13.483,1,Kenouria Logia,0,01-01-1930,0.0564,74.733,0.949,1930
0.951,['Moune De Rivel'],0.69,169509,0.714,0.000348,0,0.234,-15.857,0,Kiembeli,2,01-01-1930,0.0747,116.188,0.804,1930
0.994,['Dimitris Gkogkos'],0.552,194880,0.275,0.829,11,0.11,-12.746,0,Matia glika kai galana,0,01-01-1930,0.0599,117.057,0.544,1930
0.962,['Giorgos Papasideris'],0.32,185307,0.529,0.392,9,0.117,-7.449,1,Kalikie,0,01-01-1930,0.0474,79.649,0.858,1930
0.994,"['Petros Epitropakis', 'Antonis Kalampousis']",0.144,211399,0.331,0.88,4,0.145,-13.406,0,San Oneiro,0,01-01-1930,0.0428,71.956,0.164,1930
